Designator,Footprint,Quantity,Value,LCSC Part #
3V3LED1,0402,1,3V3LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C17, C20, C32, C34, C40",0402,6,10uF,
"C10, C11, C23, C25, C26, C27, C3, C35, C5, C6, C9",0402,11,0.1uF,
"C12, C19, C2, C30, C39, C4, C7",0402,7,1uF,
"C13, C14",0402,2,C,
"C15, C16, C18",0402,3,100nF,
"C21, C8",0402,2,10nF,
C22,0402,1,2.2uF,
C24,0402,1,0.47uF,
C29,0603,1,10uF,
C31,0603,1,22uF,
C33,0402,1,4.7uF,
D1,SOT-143,1,SP0503BAHT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole_Pad,
IC2,SON127P600X800X65-8N,1,AS5F32G04SNDA-08LIN,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
"J2, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
Q1,SOT-23,1,PMV20ENR,
"R1, R19, R3",0402,3,10K,
R10,0402,1,1k,
"R12, R13, R14",0402,3,5.1k,
R15,0402,1,36k,
R16,0402,1,24k,
R17,0402,1,14k,
R18,0402,1,56k,
"R2, R4",0402,2,470,
R5,0402,1,309,
R6,0402,1,30,
R7,0402,1,158,
R9,0402,1,499,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP3, TP4, TP7",TestPoint_Pad_D1.0mm,17,TestPoint,
TXLED1,0402,1,TX_LED,
U1,150044M155220,1,150044M155220,
U10,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U11,SOIC127P599X175-9N,1,SC4215,
U2,QFN40P700X700X90-57N,1,ESP32-S3,
U4,XDCR_DPS310,1,DPS368,
U5,QFN300X300X100-16N,1,H3LIS331DLTR,
U6,PQFN50P300X300X100-16N,1,MMC5983MA,
U7,PQFN50P300X300X80-16N,1,ICM-20608-G,
"U8, U9",SOT-23-5,2,XC8111,
USBLED1,0402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz±10ppm,
